game_name,price,link,description
Tiebreak: Official Game of the ATP and WTA...,£44.99,https://www.simplygames.com//p/tiebreak-official-game-of-the-atp-and-wta-ps4,"DescriptionTIEBREAK is the official tennis game of the ATP and WTA. Take part in the major tournaments of the official calendar, challenge the community in multiplayer, and impose your style of play.The official game of the ATP and WTAThe game includes the biggest tournaments of the official ATP and WTA calendar. Play the Master 1000, ATP/WTA 500 and 250 and take part of the 2024 tennis season.The biggest stars in tennis!Select your player from the roster of available stars. Play as Daniil Medvedev, Alexander Zverev, Maria Sakkari and many others."
Adam Wolfe...,£24.99,https://www.simplygames.com//p/adam-wolfe-ps4,"DescriptionStep into the shoes of Adam Wolfe, investigator of the supernatural. Driven by your sister’s mysterious disappearance, take to the brooding streets of San Francisco, where crime and paranormal occurrences intertwine in dark corners.Solving one mystery after another, slowly unravel a larger conspiracy that could lead you to your missing sibling, but may also drag you into the abyss forever.Use your wits, your detective instincts and, when all else fails, your six-shooter in this psychological thriller packed with more than 8 hours of challenging gameplay. Secret societies, unnatural afflictions and ancient covenants await you in Adam Wolfe's exciting 4 episodes!Become the Detective. Become Wolfe."
Sand Land...,£47.99  £39.99,https://www.simplygames.com/p/sand-land-ps4,"DescriptionEMBARK ON AN EPIC JOURNEY - Take off on a bumpy adventure written and designed by the creator of Dragon Ball, Akira Toriyama. Discover the unique art style that flows through the game, follow the character’s crazy saga, and let yourself be carried away by this original story of friendship and justice.ADVENTURE BEYOND THE DUNES - Travel through SAND LAND and its canyons, unveil its secrets, overcome fierce foes, and pave the way to the Legendary Spring. Explore the world and search every nook and cranny to loot essential materials that will help the team take on harder and harder challenges.VEHICLES FROM BEYOND YOUR IMAGINATION - Unlock vehicles that can be levelled-up with various mechanic parts, including weapons, engines and suspensions. Design and operate a large variety of vehicles, including Battle Tanks with powerful cannons, Motorbikes that speed through deserts, and Jump-Bots that bounce over craters to explore every corner of the continent.YOUR LAND, YOUR STYLE - Become Beelzebub, master his demonic powers and develop his fighting abilities to match your playstyle. Build and customise all your vehicles to your taste and style including the paint job! Save Sand Land your way and in style while doing it!BECOME THE SAVIOR THE WORLD NEEDS - Develop the basecamp in the city of Spino, as you build relationships with its inhabitants. Watch the town and its capabilities grow, as you bring back the exiled people of the desert so Spino. Listen to their requests and wishes, and unlock useful materials and city features, that will help you make the SAND LAND thrive again!"
The Sisters: Party of the Year...,£6.99,https://www.simplygames.com//p/the-sisters-party-of-the-year-ps4,DescriptionProduct description coming soon....
Persona 3 Reload...,£34.99,https://www.simplygames.com//p/persona-3-reload-ps4,"DescriptionEnter the Dark Hour and seal your fate.Step into the shoes of a transfer student thrust into an unexpected fate when entering the hour ""hidden"" between one day and the next. Awaken an incredible power and chase the mysteries of the Dark Hour, fight for your friends, and leave a mark on their memories forever.Persona 3 Reload is a captivating reimagining of the genre-defining RPG, reborn for the modern era.Experience the pivotal game of the Persona series faithfully remade with cutting-edge graphics, modernized quality-of-life features, and signature stylish UI.Fully immerse yourself in an emotional, gripping journey with new scenes and character interactions, additional voiceover, and a reloaded soundtrack.Choose how to meaningfully spend each day through various activities from exploring the expansive Tatsumi Port Island to forging genuine bonds with beloved characters.Build and command your optimal team to take down otherworldly Shadows and climb closer to the truth."
Prince of Persia: The Lost Crown...,£37.99  £34.99,https://www.simplygames.com//p/prince-of-persia-the-lost-crown-ps4,"DescriptionStep into the world ofPRINCE OF PERSIA: THE LOST CROWN, now available onPlayStation 4. Harness the power of time to perform deadly combos and overcome time-corrupted enemies and mythical creatures. Experience the thrill of combat and platforming as you navigate through a world inspired by Persian mythology.Discover a realm filled with larger-than-life landmarks, exploring various biomes, each uniquely detailed and filled with danger and wonder. The PlayStation 4’s reliable performance ensures a smooth gaming experience as you delve into this captivating story.Unravel the mysteries of this cursed place, using your wits to solve intricate puzzles, find hidden treasures, and complete quests. The PS4’s vast gaming community and established library make PRINCE OF PERSIA: THE LOST CROWN a must-play title for fans of action-adventure games.Time-bending combat and platforming on PlayStation 4Explore a Persian-inspired world filled with wondersSolve puzzles and uncover hidden treasuresEngaging story set in a mythological fantasy worldPart of PlayStation’s vast gaming library"
Persona 5 Tactica...,£54.99  £22.99,https://www.simplygames.com//p/persona-5-tactica-ps4,"DescriptionAfter a strange incident, the Phantom Thieves wander into a bizarre realm where its citizens are living under tyrannical oppression. Surrounded by a military group named Legionnaires, they find themselves in grave danger until a mysterious revolutionary named Erina rescues them and offers an enticing deal in exchange for their help. What truth lies behind Erina and the deal she offers to the Phantom Thieves?AN EMOTIONAL REVOLUTIONLead an uprising of the heart in a brand-new storyline that takes place in Persona’s iconic universe.BUILD YOUR DREAM SQUADAssemble a team of beloved heroes to fight oppressive armies in thrilling turnbased combat.DYNAMIC COMBATOverthrow your enemies with powerful Personas, an assortment of weapons, and wipe them out with style!"
Star Ocean: The Second Story R...,£44.99,https://www.simplygames.com//p/star-ocean-the-second-story-r-ps4,"DescriptionFantasy and Science Fiction collide in a unique visual styleExperience a story with dual protagonistsNew character illustrations have also been created by long-term series artist Yukihiro Kajimoto.Customize party progression with a large selection of skills, including Cooking, Art, Metalcraft, and many more. Build up to Specialty levels and master the enhanced Item Creation system to craft ultimate equipment with different effects.All event scenes are now fully voiced using the same voice cast from the original game. In addition, the dialogue from STAR OCEAN SECOND EVOLUTION (2008) is also included and can be selected."
Hot Wheels Unleashed™ 2 – Turbocharged...,£34.99  £24.99,https://www.simplygames.com//p/hot-wheels-unleashed-2---turbocharged-ps4,"DescriptionWE DID IT AGAIN!If you thought the first chapter was awesome, well, buckle up because we are going to blow you away with incredible new features!MORE WHEELS FOR YOUR FUNFirst things first: make room on your virtual shelf, because you can access more than 130 vehicles and even more varieties! Yes, not only Hot Wheels™ Originals, but also Hot Wheels™ Monster Trucks and vehicles from the entertainment world. Now you can also ride motorbikes and ATVs, each with their own unique racing style to take on every track in the most strategic way!A brand-new system will define the vehicles’ category, which can be upgraded with the dedicated skill tree that will directly affect their performance. Watch your car become unstoppable!NEW PLACES TO CALL HOMEWhether it's the backyard of a house in the suburbs or a mini-golf course in a village in the Wild West, your tracks will be surrounded by the most stunning environments! Discover 5 brand-new locations, master their secrets, and you'll feel right at home both there and on the podium. New terrains are another fantastic new entry that will make your races even more exciting and challenging. Grass, sand, and more will directly affect the handling of the vehicle – something to keep in mind when you choose your ride. Strategy plays an even bigger role now!SHOW OFF YOUR MOVESBefore impressing your opponents with a great victory, leave them speechless with crazy new moves! In addition to Drift and Boost, now you can show off your Lateral Dash and Single or Double Jump. Use them wisely, and at the right time to bump into your rivals and kick them off the track… or simply to avoid those barriers! And with the new Jumps you can skip ahead of traffic and also find new secret shortcuts!JUST THE WAY YOU LIKE ITAre you a daredevil who turns every race into pure adrenaline? Or maybe you're the type who likes to test their limits? Did you say “fan of huge crashes”? Well, HOT WHEELS UNLEASHED 2 - Turbocharged™ brings to the table all of that and much more. Different game modes for whatever “fun” means to you, off and online.UNLEASH YOUR CREATIVITY!The most acclaimed editors are back! Create the track of your dreams with the powerful Track Editor, or use the best creations from the community! And of course, beautiful tracks call for awesome cars. The new and improved Livery Editor is what you need: with new tools like the Stickers Editor, you can design and save patterns and shapes to create your masterpiece. We are sure the best one will come from your imagination!IT’S A WHOLE NEW STORYLiterally. The new campaign mode features a brand-new and original story-driven adventure! The city is under attack and only you can save it from the creatures. How? Easy – winning exciting dedicated races and challenges! OK, it won’t actually be that easy… but it will surely be exciting! So get ready to be not just a winner, but a real hero!"
NHL 24...,£29.99,https://www.simplygames.com//p/nhl-24-ps4,"DescriptionEA SPORTS™ NHL® 24’s all-new gameplay features bring authentic on-ice action to life. Experience the rush and fatigue of a high-pressure game with the Exhaust Engine, where sustained pressure in the attack zone leads to new game-changing effects like goalie fatigue that slows the netminder’s reaction time the more they get worn down with offensive action; change the momentum with Physics-Based Contact as you break the glass and send players into the bench with big body checks; and get unparalleled player command with the new Vision Passing System and Total Control Skill Moves. Chel is more connected than ever with cross-play in all online team play modes, along with HUT Moments, which lets you recreate classic moments in hockey history and today’s biggest plays. Adding an extra layer of authenticity, Flex Moments introduces 75+ new goal celebrations, and a wholly refreshed presentation complements an enriched crowd atmosphere that makes playing the game feel like you’re at the game."
NBA 2K24 Kobe Bryant Edition...,£49.99,https://www.simplygames.com//p/nba-2k24-ps4,"DescriptionGrab your squad and experience the past, present, and future of hoops culture in NBA 2K24. Enjoy pure, authentic action and limitless personalized MyPLAYER options in MyCAREER. Collect an impressive array of legends and build your perfect lineup in MyTEAM. Experience next -level gameplay and lifelike visuals with your favorite NBA and WNBA teams in PLAY NOW.MAMBA MOMENTS -Channel your inner-Mamba Mentality as you recreate Kobe’s most dominant and captivating performances during his rise to global superstardom. Revisit his early career triumphs as a young phenom, and progress through his transcendent journey from elite scorer to one of the greatest players of all time.HOOP IN PARADISE -Make your mark on a scenic, coastal Neighborhood rich with postcard-esque views and blistering competition. Use the revamped player builder to create a MyPLAYER that suits your skill set, so you can play to your strengths and get the most out of the updated Badge system. Explore cliffside terrain, complete a new set of streamlined quests, and take on rival players in the ultimate MyCAREER backdrop.MANAGE YOUR MyTEAM -The classic card-collecting mode is back and loaded with endless hours of customizable fun. Draw from the past and present using today’s All-Stars and all -time legends to form a squad capable of dominating single player and multiplayer modes. MyTEAM features a collection of innovative improvements, including an all-new salary cap mode, while maintaining its signature competitive feel.MAKE YOUR MOVES -Enjoy the most authentic gameplay yet, with an emphasis on seamless mechanics and attention to detail. Showcase your deep arsenal of moves with revamped interior defense and dribble combo controls for more rewarding skill-based actions and effectiveness"
Agatha Christie - Hercule Poirot: The London Case...,£34.99,https://www.simplygames.com//p/agatha-christie---hercule-poirot-the-london-case-ps4,"DescriptionEXPERIENCE A NEW ADVENTURE, CITY AND...PARTNERFrom the brilliant mind of the BAFTA Award-Wining studio, Blazing Griffin, get ready for a newadventure as Hercule Poirot travels to London for a seemingly simple task of delivering a painting for an exhibition.However, a mishap along the way leads to an unexpected encounter with a young insurance agent, Arthur J.M. Hastings.For the first time ever, players will have the opportunity to team up with Poirot’s well-known sidekickin the books as they uncover a new mystery. Experience a new location, adventure, and partner in this exciting next chapter of Hercule Poirot in his youth.▪STRONG NARRATIVE: Featuring a compelling and engaging story that immerses players in the worldof Hercule Poirot. Players will experience Poirots youth in London and will be able to explore the citywhile uncovering clues and solving mysteries.▪COLLECT CLUES: Inspect new environments and search for clues in a first-person view and engage in conversation with new and suspicious characters in a more cinematic approach.▪SOLVE THE MYSTERY and contradict characters’alibis by matching all collected clues in a brand new mini game feature.▪ENHANCED ENVIRONMENTS: The optimised engine magnifies 3D isometric renders to bring moredepth and life to each scene.▪A BRILLANT ADVENTURE & MYSTERY GAME: Players will enjoy many investigation features, this willinclude interviewing suspects, collecting evidence, and piecing together clues to solve the mystery."
